SimID,L,Haploid,monoecious,omega,complete,U,sigma,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
8902,4,FALSE,TRUE,1,0,0.015,0.14142135623731,523,539,0.0094071239589324,0.0351631624240027,-0.411845981356935,-0.408371007185324,0.274762861168498,-0.412667007251125,0
8903,4,FALSE,TRUE,1,0,0.015,0.14142135623731,529,542,0.0900500578817307,0.107216057726037,-0.952814449898,-0.953391052005746,0.204392932916086,-0.853531605044331,0
8904,4,FALSE,TRUE,1,0,0.015,0.14142135623731,471,461,-0.00298992986629498,0.0985938363901919,-0.457732538164939,-0.462870645424693,NA,NA,1
8905,4,FALSE,TRUE,1,0,0.015,0.14142135623731,562,597,0.0651912094289644,0.119347239413998,-2.24450083743578,-2.23183702258893,0.272989317151635,-2.24033343414147,0
8906,4,FALSE,TRUE,1,0,0.015,0.14142135623731,626,586,0.126656748904216,0.0813773293196212,-0.59075139020042,-0.591827120526296,NA,NA,1
8907,4,FALSE,TRUE,1,0,0.015,0.14142135623731,610,632,0.270444577257875,0.142076325064784,-1.18366774735991,-1.18391343711983,0.145916033138693,-1.18208413401949,0
8908,4,FALSE,TRUE,1,0,0.015,0.14142135623731,541,504,0.196517093274882,0.160755280105273,-2.2964627371581,-2.29458366870092,NA,NA,1
8909,4,FALSE,TRUE,1,0,0.015,0.14142135623731,561,531,0.277036617873383,0.0967329488056166,-2.46287855085542,-2.46543329802078,NA,NA,1
8910,4,FALSE,TRUE,1,0,0.015,0.14142135623731,463,420,0.0770604199403799,-0.0242276911407484,-0.601899780569353,-0.601601139961685,NA,NA,1
8911,4,FALSE,TRUE,1,0,0.015,0.14142135623731,722,709,0.465945626758608,0.269532486916616,-4.28346737629352,-4.28338719673178,0.379239644839527,-4.2756555377593,0
8912,4,FALSE,TRUE,1,0,0.015,0.14142135623731,586,536,0.107127488741324,-0.0146506891212674,-0.303278989558268,-0.301624928970756,NA,NA,1
8913,4,FALSE,TRUE,1,0,0.015,0.14142135623731,553,535,0.120004120451686,0.17083079465752,-0.430329725251703,-0.430485196456593,0.150803262466987,-0.429341069105817,0
8914,4,FALSE,TRUE,1,0,0.015,0.14142135623731,584,607,0.176726030699154,0.330636058137389,-0.445935614406015,-0.446443651892631,0.20401908313768,-0.418632640323583,0
8915,4,FALSE,TRUE,1,0,0.015,0.14142135623731,608,493,0.202849351595152,-0.0369755439395389,-0.768069701402529,-0.763880042388614,0.240122640185942,-0.75153961438388,0
8916,4,FALSE,TRUE,1,0,0.015,0.14142135623731,585,551,0.0907321672714969,0.0539192818755485,-0.543967114623235,-0.544466378433191,0.16769103337744,-0.540875772618632,0
8917,4,FALSE,TRUE,1,0,0.015,0.14142135623731,472,432,0.158314748272097,-0.0232904006688988,-1.09520909227755,-1.0946117279303,NA,NA,1
8918,4,FALSE,TRUE,1,0,0.015,0.14142135623731,445,447,0.0664001062715318,0.064125967866143,-1.24548977724654,-1.25332189220146,NA,NA,1
8919,4,FALSE,TRUE,1,0,0.015,0.14142135623731,485,484,0.0984743692642718,0.127180059444837,-0.991050025148491,-0.947073692765903,NA,NA,1
8920,4,FALSE,TRUE,1,0,0.015,0.14142135623731,557,486,0.265142183509485,0.143136023897309,-1.0675841976827,-1.08393910768119,NA,NA,1
8921,4,FALSE,TRUE,1,0,0.015,0.14142135623731,529,510,0.222989236933298,0.128489167775186,-1.06829297444534,-1.06448171218597,NA,NA,1
8922,4,FALSE,TRUE,1,0,0.015,0.14142135623731,684,589,0.355975231377267,0.00957109461970007,-2.70613644934685,-2.71562961625203,0.502867330130726,-2.71380363790706,0
8923,4,FALSE,TRUE,1,0,0.015,0.14142135623731,582,646,0.292339222941783,0.458323040108185,-1.2269420610353,-1.25110483257764,NA,NA,1
8924,4,FALSE,TRUE,1,0,0.015,0.14142135623731,565,546,8.04901176312267e-05,-0.0502392629834734,-0.739904855918441,-0.73865798154368,0.0327635922206022,-0.744815930597199,0
8925,4,FALSE,TRUE,1,0,0.015,0.14142135623731,554,542,0.133407145819201,0.104711935122378,-0.710598505761337,-0.73314310465281,0.0963647798825062,-0.724575645834429,0
8926,4,FALSE,TRUE,1,0,0.015,0.14142135623731,498,479,0.0663872166324002,0.00273590392005207,-0.481138253003675,-0.475655663429938,NA,NA,1
8927,4,FALSE,TRUE,1,0,0.015,0.14142135623731,507,490,0.0869221915958791,0.0318246028004621,-0.506078046194976,-0.509094659360699,NA,NA,1
8928,4,FALSE,TRUE,1,0,0.015,0.14142135623731,528,640,-0.000699333211382047,0.223658926413542,-2.21953749370831,-2.2200602914321,0.195627065899446,-2.21489523010328,0
8929,4,FALSE,TRUE,1,0,0.015,0.14142135623731,543,605,0.0892871663016885,0.250680181802774,-0.838560751276869,-0.837003577302272,NA,NA,1
8930,4,FALSE,TRUE,1,0,0.015,0.14142135623731,626,559,0.406883171815817,0.0286728142860253,-1.5551113527791,-1.55396439709695,0.0780429352852285,-1.55503250776435,0
8931,4,FALSE,TRUE,1,0,0.015,0.14142135623731,431,419,0.0315754466443798,0.0247038570019769,-0.370092808799836,-0.363913578663491,NA,NA,1
8932,4,FALSE,TRUE,1,0,0.015,0.14142135623731,634,619,0.176723159873492,0.0316835651958176,-0.596980758053232,-0.600333729793558,0.0668349778348554,-0.598698296700152,0
8933,4,FALSE,TRUE,1,0,0.015,0.14142135623731,587,647,0.0811189199489326,0.325623787291335,-1.96263041105601,-1.96001746201425,0.136956664838509,-1.95478462535347,0
8934,4,FALSE,TRUE,1,0,0.015,0.14142135623731,609,595,0.130368163041493,0.107114490259189,-2.5572799781095,-2.55580516211263,0.157887453379837,-2.55137265699655,0
8935,4,FALSE,TRUE,1,0,0.015,0.14142135623731,596,603,0.277092965975056,0.403223351303856,-2.32209736512011,-2.32302506130292,NA,NA,1
8936,4,FALSE,TRUE,1,0,0.015,0.14142135623731,577,583,0.0752727279788619,0.0651904301484696,-0.780829086207833,-0.778100826140992,0.0775977932181862,-0.780870712053861,0
8937,4,FALSE,TRUE,1,0,0.015,0.14142135623731,492,509,0.0658115591919362,0.0848499415634947,-0.803548147207876,-0.797933541911835,NA,NA,1
8938,4,FALSE,TRUE,1,0,0.015,0.14142135623731,419,392,0.00575706769344353,-0.074894762820326,-0.315428020745488,-0.33501230863669,NA,NA,1
8939,4,FALSE,TRUE,1,0,0.015,0.14142135623731,529,562,0.163094633427322,0.239706079858085,-1.87535543960567,-1.87525844960507,NA,NA,1
8940,4,FALSE,TRUE,1,0,0.015,0.14142135623731,505,510,0.132142793639848,0.164984188915199,-0.521835813477335,-0.573320517459904,NA,NA,1
8941,4,FALSE,TRUE,1,0,0.015,0.14142135623731,544,573,0.0905941947220865,0.0618708417217748,-0.479676655910324,-0.482414525539977,NA,NA,1
8942,4,FALSE,TRUE,1,0,0.015,0.14142135623731,596,585,0.131393392707585,0.143611489892111,-0.947282480821112,-0.947903207284666,0.304883704748302,-0.948178983282244,0
8943,4,FALSE,TRUE,1,0,0.015,0.14142135623731,485,528,0.064583803112622,0.293001287702066,-0.394082403557939,-0.386870734124784,NA,NA,1
8944,4,FALSE,TRUE,1,0,0.015,0.14142135623731,621,677,0.264387620436819,0.428148671889639,-1.20571089262913,-1.20671386198288,0.298266789765484,-1.20360539464044,0
8945,4,FALSE,TRUE,1,0,0.015,0.14142135623731,621,636,0.351163112862326,0.513094291071109,-1.51521764659101,-1.51568869746352,0.383509525460739,-1.50391328039502,0
8946,4,FALSE,TRUE,1,0,0.015,0.14142135623731,610,640,0.1744049449218,0.17879002321406,-0.416242290593251,-0.415503992839728,0.135728493081827,-0.405316770224673,0
