SimID,L,Haploid,monoecious,omega,complete,R,Kmax,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
5425,4,FALSE,TRUE,1,1,1.25,100,316,301,0.133512994875976,0.10551913449577,-0.622306048427491,-0.623567322266628,NA,NA,1
5426,4,FALSE,TRUE,1,1,1.25,100,312,327,0.085754538896136,0.0943090537191258,-1.10778193100885,-1.10878367425557,NA,NA,1
5427,4,FALSE,TRUE,1,1,1.25,100,253,238,0.132709910137582,0.00735239593994208,-1.39629438595283,-1.36430892025506,NA,NA,1
5428,4,FALSE,TRUE,1,1,1.25,100,400,326,0.480327084287451,0.151437881569609,-3.71866215791184,-3.69741200762058,NA,NA,1
5429,4,FALSE,TRUE,1,1,1.25,100,385,322,0.347960125267524,-0.0427067075644068,-0.992096602914622,-0.977837715442977,NA,NA,1
5430,4,FALSE,TRUE,1,1,1.25,100,264,254,0.178608175947329,0.0971670346488025,-1.15622833533957,-1.14445289379521,NA,NA,1
5431,4,FALSE,TRUE,1,1,1.25,100,321,288,0.0724289618160767,-0.00461590544917545,-0.757145283043486,-0.754414300879055,NA,NA,1
5432,4,FALSE,TRUE,1,1,1.25,100,254,261,0.138406630190975,0.153560209441594,-0.82715321371632,-0.855074000856348,NA,NA,1
5433,4,FALSE,TRUE,1,1,1.25,100,278,264,0.0495166784066754,-0.0289967179971302,-0.98979048199925,-0.877487182939893,NA,NA,1
5434,4,FALSE,TRUE,1,1,1.25,100,324,321,0.223396672768575,0.234117482767273,-1.10513998253768,-1.07790301659052,NA,NA,1
5435,4,FALSE,TRUE,1,1,1.25,100,266,296,-0.120758142961434,0.168225574024258,-1.53106849594496,-1.54130326854135,NA,NA,1
5436,4,FALSE,TRUE,1,1,1.25,100,283,286,0.0694439589336044,0.11537436483877,-1.68988371423624,-1.69743642888652,NA,NA,1
5437,4,FALSE,TRUE,1,1,1.25,100,337,298,0.48350934355314,0.0861768972613695,-1.8639700755185,-1.84910557375725,NA,NA,1
5438,4,FALSE,TRUE,1,1,1.25,100,274,266,0.0326418747522279,0.0121730806786684,-0.341300947624612,-0.43180027047587,NA,NA,1
5439,4,FALSE,TRUE,1,1,1.25,100,375,383,0.427001630602203,0.392391032187043,-2.79289206258815,-2.79241886072252,NA,NA,1
5440,4,FALSE,TRUE,1,1,1.25,100,289,232,0.221857414638987,0.126249132908523,-2.72340964302196,-2.76384134292215,NA,NA,1
5441,4,FALSE,TRUE,1,1,1.25,100,338,294,0.240828428323977,0.170952975143366,-1.62351057216429,-1.61399629568594,NA,NA,1
5442,4,FALSE,TRUE,1,1,1.25,100,282,267,0.103178373866196,0.0181495140700216,-1.0004683079418,-0.987817186879896,NA,NA,1
5443,4,FALSE,TRUE,1,1,1.25,100,246,257,-0.0342204725370334,0.102808177063574,-0.898106540978216,-0.91540356746315,NA,NA,1
5444,4,FALSE,TRUE,1,1,1.25,100,291,294,0.262120310444366,0.205091375254962,-1.41975190673316,-1.42035028145162,NA,NA,1
5445,4,FALSE,TRUE,1,1,1.25,100,291,295,0.125843446353924,0.0628832101385923,-1.39836879772825,-1.43453418135347,NA,NA,1
5446,4,FALSE,TRUE,1,1,1.25,100,249,251,0.213044426341672,0.139488193319117,-1.37376970786896,-1.30839134330957,NA,NA,1
5447,4,FALSE,TRUE,1,1,1.25,100,312,317,0.118660685530751,-0.0389086182699072,-0.401174176884045,-0.489160263505866,NA,NA,1
5448,4,FALSE,TRUE,1,1,1.25,100,251,287,0.0771895376881635,0.194980062483788,-1.0796095520643,-1.08391840381941,NA,NA,1
5449,4,FALSE,TRUE,1,1,1.25,100,305,314,0.257996949987613,0.135959599591586,-1.40105999299914,-1.35624405375488,NA,NA,1
5450,4,FALSE,TRUE,1,1,1.25,100,248,312,-0.0301771238100574,0.316089193792468,-1.15515441330532,-1.19948105313726,NA,NA,1
5451,4,FALSE,TRUE,1,1,1.25,100,299,331,0.163748468632114,0.283417166025357,-2.93681297531641,-3.05185822034437,NA,NA,1
5452,4,FALSE,TRUE,1,1,1.25,100,271,291,0.169349165965186,0.12900247165561,-1.72011598894979,-1.70983600562848,NA,NA,1
5453,4,FALSE,TRUE,1,1,1.25,100,260,264,0.0656837680044582,0.194959989951759,-0.561922932055374,-0.191166569730833,NA,NA,1
5454,4,FALSE,TRUE,1,1,1.25,100,249,256,-0.00406983385881565,0.0847174462731204,-0.21606096679604,-0.232876922701713,NA,NA,1
5455,4,FALSE,TRUE,1,1,1.25,100,283,274,0.18140600424352,0.108981985419295,-1.44040392846304,-1.45146387516024,NA,NA,1
5456,4,FALSE,TRUE,1,1,1.25,100,291,270,0.070927995791551,-0.104140381930594,-1.28352497624338,-1.29212100950705,NA,NA,1
5457,4,FALSE,TRUE,1,1,1.25,100,258,281,-0.155107129642349,0.0733161059436693,-0.536316142233125,-0.516137143046941,NA,NA,1
5458,4,FALSE,TRUE,1,1,1.25,100,273,302,0.165764275616632,0.136226760015939,-2.08166669600393,-2.10181280669497,NA,NA,1
5459,4,FALSE,TRUE,1,1,1.25,100,243,268,-0.00198376048067339,0.0102159203968688,-0.389908726952373,-0.373043258891266,NA,NA,1
5460,4,FALSE,TRUE,1,1,1.25,100,313,304,0.268578881053442,0.22549416836245,-3.29418582144135,-3.32434171817977,NA,NA,1
5461,4,FALSE,TRUE,1,1,1.25,100,305,317,0.0378467892691883,0.118862364659213,-0.262510813997725,-0.249813395077484,NA,NA,1
5462,4,FALSE,TRUE,1,1,1.25,100,268,277,-0.0356912514618697,0.16620418352554,-1.57847897057447,-1.42657293664239,NA,NA,1
5463,4,FALSE,TRUE,1,1,1.25,100,347,322,0.347371681778346,0.385128053448883,-2.06192408349639,-2.07693490176797,NA,NA,1
5464,4,FALSE,TRUE,1,1,1.25,100,324,307,0.300497479135333,0.251084665698982,-1.59193186855902,-1.59845677650222,NA,NA,1
5465,4,FALSE,TRUE,1,1,1.25,100,300,294,0.206700363917848,0.185346965559013,-2.18288787459976,-2.16824081399007,NA,NA,1
5466,4,FALSE,TRUE,1,1,1.25,100,277,269,0.0294360360971009,0.108503752005291,-0.580229017673912,-0.571430324572607,NA,NA,1
5467,4,FALSE,TRUE,1,1,1.25,100,246,249,0.156019005415966,0.103140085911869,-1.74407210623216,-1.73989630818692,NA,NA,1
5468,4,FALSE,TRUE,1,1,1.25,100,317,326,0.120429207853255,0.175004380174064,-2.81392500834964,-2.79774845821332,NA,NA,1
5469,4,FALSE,TRUE,1,1,1.25,100,239,264,0.0811467926589171,0.11350961420427,-1.127307220022,-1.11370565256066,NA,NA,1
5470,4,FALSE,TRUE,1,1,1.25,100,282,295,0.131825333539628,0.127674243710996,-0.404266640575053,-0.505489608350842,NA,NA,1
5471,4,FALSE,TRUE,1,1,1.25,100,316,341,0.269743591132074,0.281264946331395,-1.91448404109477,-1.91555599869565,NA,NA,1
5472,4,FALSE,TRUE,1,1,1.25,100,289,303,0.0451073845986516,0.124712181999683,-0.181715555581704,-0.173846123414348,NA,NA,1
5473,4,FALSE,TRUE,1,1,1.25,100,290,323,0.0455456893624808,0.2547271321602,-0.332666200938532,-0.160409446508395,NA,NA,1
5474,4,FALSE,TRUE,1,1,1.25,100,346,298,0.400578930011963,0.0671244896117367,-1.89613000340354,-1.90957748694303,NA,NA,1
5475,4,FALSE,TRUE,1,1,1.25,100,385,376,0.308037877527362,0.339896992738635,-2.52989968329196,-2.49785989506805,NA,NA,1
5476,4,FALSE,TRUE,1,1,1.25,100,341,381,0.171718445593808,0.342659011519662,-1.99939630549046,-1.96748219915021,NA,NA,1
5477,4,FALSE,TRUE,1,1,1.25,100,415,386,0.505796757825925,0.36174654370341,-3.84096635645101,-3.86693051704183,NA,NA,1
5478,4,FALSE,TRUE,1,1,1.25,100,304,273,0.226957403454942,0.0570242837470292,-1.99431890339582,-1.9881431097109,NA,NA,1
5479,4,FALSE,TRUE,1,1,1.25,100,210,281,-0.0945122467444308,0.397850583046353,-1.9276218957196,-2.65041524492247,NA,NA,1
5480,4,FALSE,TRUE,1,1,1.25,100,276,288,0.156309578353708,0.175411502071201,-1.89817301395655,-1.9016953670158,NA,NA,1
5481,4,FALSE,TRUE,1,1,1.25,100,291,285,0.0432440331514699,0.120416969949489,-0.700046678405323,-0.68856724090275,NA,NA,1
5482,4,FALSE,TRUE,1,1,1.25,100,293,236,0.282803969996898,-0.0293642189766601,-1.52513293900628,-1.49666848142675,NA,NA,1
5483,4,FALSE,TRUE,1,1,1.25,100,281,289,0.130769302310156,0.188169424761416,-1.85952958669979,-1.84739686145688,NA,NA,1
5484,4,FALSE,TRUE,1,1,1.25,100,262,273,0.183138844607455,0.0931927873939207,-1.96081532855933,-1.95174705971926,NA,NA,1
5485,4,FALSE,TRUE,1,1,1.25,100,258,244,0.0225082819908706,0.0226970446057064,-1.83084913982863,-1.83462506286085,NA,NA,1
5486,4,FALSE,TRUE,1,1,1.25,100,308,298,0.106356716442113,0.157686153296848,-0.768857862703117,-0.77025447190146,NA,NA,1
5487,4,FALSE,TRUE,1,1,1.25,100,294,288,0.128347972539012,-0.026908831633506,-0.82478682678304,-0.797675100478844,NA,NA,1
5488,4,FALSE,TRUE,1,1,1.25,100,270,268,0.0645590502981264,-0.0798153852217784,-0.451884359913158,-0.46193704105147,NA,NA,1
5489,4,FALSE,TRUE,1,1,1.25,100,262,296,-0.109859605552292,0.151592516330779,-0.79971034267847,-0.81125631359865,NA,NA,1
5490,4,FALSE,TRUE,1,1,1.25,100,308,294,0.171775137702327,-0.0201670294892364,-1.51483285172743,-1.57788062525406,NA,NA,1
5491,4,FALSE,TRUE,1,1,1.25,100,347,323,0.119561286082628,0.14500979321663,-1.00794544915435,-1.00594770619664,NA,NA,1
5492,4,FALSE,TRUE,1,1,1.25,100,294,318,0.131676965534435,0.242724843168084,-0.931986439706652,-0.932704093583063,NA,NA,1
5493,4,FALSE,TRUE,1,1,1.25,100,364,313,0.345758130283653,0.0445715088138454,-2.64885021851409,-2.64180561935292,NA,NA,1
5494,4,FALSE,TRUE,1,1,1.25,100,303,299,0.161721829233292,0.103849884839163,-1.34974683166896,-1.36184359402289,NA,NA,1
5495,4,FALSE,TRUE,1,1,1.25,100,229,240,0.0274594207865374,0.167829783576146,-1.01330855635848,-1.00881326282672,NA,NA,1
5496,4,FALSE,TRUE,1,1,1.25,100,267,267,0.0234512997022933,0.0251000439613625,-0.269142218957843,-0.286330715983956,NA,NA,1
5497,4,FALSE,TRUE,1,1,1.25,100,263,279,0.0408400990603859,0.119194694397899,-0.887376452789544,-0.882738025926059,NA,NA,1
5498,4,FALSE,TRUE,1,1,1.25,100,306,296,0.00371692604523699,0.0900915426964821,-0.717263770257701,-0.599395756716459,NA,NA,1
5499,4,FALSE,TRUE,1,1,1.25,100,283,277,0.280925706562143,0.247816880721774,-2.37782923069062,-2.3603738244958,NA,NA,1
5500,4,FALSE,TRUE,1,1,1.25,100,258,297,0.243053385255976,0.391770783475694,-2.97935001504084,-2.96654419926018,NA,NA,1
