SimID,L,Haploid,monoecious,omega,complete,PhenExp_1,PhenExp_2,GenExp_1,GenExp_2,PhenShift,GenShift
8650,2,FALSE,TRUE,0.5,1,1.52187335253274,1.38630169725521,0.295841581637424,1.98310639270381,NA,NA
8651,2,FALSE,TRUE,0.5,1,1.8804559835273,1.84088724492731,0.166833441935943,0.0727986224005186,1.78811048689588,0.00673612227529216
8652,2,FALSE,TRUE,0.5,1,2.0275927425498,2.07117861721326,0.804106964850311,0.397904962820731,1.99298802763988,0.00242404084621961
8653,2,FALSE,TRUE,0.5,1,1.66275008154154,1.69416514765027,0.488793339397497,0.268852378119283,NA,NA
8654,2,FALSE,TRUE,0.5,1,1.86195043597531,1.83296432517525,0.27374891785471,0.162085119467462,1.81690381854788,0.00480903233574998
8655,2,FALSE,TRUE,0.5,1,1.90711973229421,1.94066193231485,0.606468875080087,0.522906025895486,1.63747318345683,0.0127177521097
8656,2,FALSE,TRUE,0.5,1,1.92941418465659,1.95663480950216,0.249564607217957,0.0376142055396379,1.87988612323259,0.00816399067600738
8657,2,FALSE,TRUE,0.5,1,1.6843840823738,1.59600016346627,0.304016555183829,1.03522945750143,1.64382646298142,0.0483447503893034
8658,2,FALSE,TRUE,0.5,1,1.92773759060155,1.88332257412829,0.861859929790335,0.480769597300997,1.79606086771683,0.00233380578921195
8659,2,FALSE,TRUE,0.5,1,1.58448334641841,1.53989375160109,0.164739838254685,0.987799888890062,NA,NA
8660,2,FALSE,TRUE,0.5,1,1.74571175063884,1.77437860262601,0.0228890181764391,0.0489277826992307,1.59327283811311,0.00549236612575152
8661,2,FALSE,TRUE,0.5,1,1.79935295700226,1.71934540239655,0.59292396507494,0.521088645176877,1.87730750545183,0.00411598006230088
8662,2,FALSE,TRUE,0.5,1,1.68933096816264,1.81838262991393,0.0854304951024081,0.190839474238835,1.89628157335496,0.0493897799093881
8663,2,FALSE,TRUE,0.5,1,1.94110906156334,1.94473617207619,0.480401949296926,0.745018272765554,1.90741180825977,0.0129099110724681
