SimID,L,Haploid,monoecious,omega,complete,MeanPhen,GenVar,SummedGenVar
100,1,TRUE,TRUE,0,1,1.40721611492997,3.7037171720209,NA
101,1,TRUE,TRUE,0,1,1.16295664262751,3.7810832510642,NA
102,1,TRUE,TRUE,0,1,1.22938237231351,0.684229685276476,NA
103,1,TRUE,TRUE,0,1,1.46132258967634,0.86591079805508,NA
104,1,TRUE,TRUE,0,1,1.23714639770988,1.86762411688651,NA
105,1,TRUE,TRUE,0,1,1.22715209470238,1.25522400749949,NA
106,1,TRUE,TRUE,0,1,1.61668172097434,0.825387663172234,NA
107,1,TRUE,TRUE,0,1,1.40496878482679,3.74684657858794,NA
108,1,TRUE,TRUE,0,1,1.05483751335983,1.240816021739,NA
109,1,TRUE,TRUE,0,1,1.3638084396781,5.48918723133891,NA
110,1,TRUE,TRUE,0,1,1.38190917286488,0.829254450005256,NA
111,1,TRUE,TRUE,0,1,1.32974908149398,1.56847321558111,NA
112,1,TRUE,TRUE,0,1,1.12522843240506,1.57093387495027,NA
113,1,TRUE,TRUE,0,1,1.25705586131866,3.89677542473504,NA
114,1,TRUE,TRUE,0,1,1.30462113452833,4.23396961164369,NA
115,1,TRUE,TRUE,0,1,1.39879035243265,1.91177531710381,NA
116,1,TRUE,TRUE,0,1,1.39894852456195,2.18505397914292,NA
117,1,TRUE,TRUE,0,1,1.3572383325011,1.25547401902335,NA
118,1,TRUE,TRUE,0,1,1.53687504113238,6.07005157819603,NA
119,1,TRUE,TRUE,0,1,1.20644866159642,0.79410265912561,NA
120,1,TRUE,TRUE,0,1,1.3058453376922,2.60349090858973,NA
121,1,TRUE,TRUE,0,1,1.22351488197443,0.561973990051875,NA
122,1,TRUE,TRUE,0,1,1.18489641929269,0.841252544308792,NA
123,1,TRUE,TRUE,0,1,1.38050635484377,2.18355666489943,NA
124,1,TRUE,TRUE,0,1,1.2124989529229,1.07492553274357,NA
125,1,TRUE,TRUE,0,1,1.49201652352162,0.938694380088578,NA
126,1,TRUE,TRUE,0,1,1.79174301032371,2.57548963881906,NA
127,1,TRUE,TRUE,0,1,1.29244272042677,0.835666570875614,NA
